idiom,submission,category,rating,likes,dislikes,reports,idiom_indices,idiom_words,lemmas,words
altını çizmek,Altını çizmek demek illaki önemli bir konu olduğunu gösterir.,idiom,1.0,4,0,0,"[0, 1]","['Altını', 'çizmek']","['alt', 'çizmek', 'demek', 'illâki', 'önem', 'bir', 'konu', 'olmak', 'göstermek', '.']","['Altını', 'çizmek', 'demek', 'illaki', 'önemli', 'bir', 'konu', 'olduğunu', 'gösterir', '.']"
altını çizmek,"Altını çizerek söylüyorum, iyi dinle.",idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', ',', 'iyi', 'dinlemek', '.']","['Altını', 'çizerek', 'söylüyorum', ',', 'iyi', 'dinle', '.']"
altını çizmek,hayattaki sorunlarını bir deftere yazdı ve hepsinin tek tek altını çizdi.,idiom,0.0,0,5,0,"[9, 10]","['altını', 'çizdi']","['hayat', 'sorun', 'bir', 'defter', 'yazmak', 've', 'hepsi', 'tek', 'tek', 'alt', 'çizmek', '.']","['hayattaki', 'sorunlarını', 'bir', 'deftere', 'yazdı', 've', 'hepsinin', 'tek', 'tek', 'altını', 'çizdi', '.']"
altını çizmek,Bakınız altını çizerek söylüyorum ki bu ekonomik krizi atlatmazsak halimiz duman.,idiom,0.8,4,0,1,"[1, 2]","['altını', 'çizerek']","['bakmak', 'alt', 'çizmek', 'söylemek', 'ki', 'bu', 'ekonomik', 'kriz', 'atlatmak', 'hal', 'Duma', '.']","['Bakınız', 'altını', 'çizerek', 'söylüyorum', 'ki', 'bu', 'ekonomik', 'krizi', 'atlatmazsak', 'halimiz', 'duman', '.']"
altını çizmek,Şunun altını çizmek isterim: Dil Devrimi büyük iştir,idiom,1.0,5,0,0,"[1, 2]","['altını', 'çizmek']","['şu', 'alt', 'çizmek', 'isteri', ':', 'dil', 'devir', 'büyük', 'iş']","['Şunun', 'altını', 'çizmek', 'isterim', ':', 'Dil', 'Devrimi', 'büyük', 'iştir']"
altını çizmek,"Altını çizerek söylüyorum, lütfen doğalgazı kapatmayı unutma.",idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', ',', 'lütfen', 'doğalgaz', 'kapatmak', 'unutmak', '.']","['Altını', 'çizerek', 'söylüyorum', ',', 'lütfen', 'doğalgazı', 'kapatmayı', 'unutma', '.']"
altını çizmek,Yöneticim projede ekip içi iletişimin altını çizdi.,idiom,1.0,4,0,0,"[5, 6]","['altını', 'çizdi']","['yönetmek', 'proje', 'ekmek', 'iç', 'iletişim', 'alt', 'çizmek', '.']","['Yöneticim', 'projede', 'ekip', 'içi', 'iletişimin', 'altını', 'çizdi', '.']"
altını çizmek,Bu noktanın altını çizmek isterim.,idiom,1.0,5,0,0,"[2, 3]","['altını', 'çizmek']","['bu', 'nokta', 'alt', 'çizmek', 'isteri', '.']","['Bu', 'noktanın', 'altını', 'çizmek', 'isterim', '.']"
altını çizmek,Hoca derste bu konunun altını ısrarla çizmişti.,idiom,1.0,4,0,0,"[4, 6]","['altını', 'çizmişti']","['Ho', 'ders', 'bu', 'konu', 'alt', 'ısrar', 'çizmek', '.']","['Hoca', 'derste', 'bu', 'konunun', 'altını', 'ısrarla', 'çizmişti', '.']"
altını çizmek,Altını çizerek belirtmek isterim ki hata yaptınız,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'belirtmek', 'isteri', 'ki', 'hata', 'yapmak']","['Altını', 'çizerek', 'belirtmek', 'isterim', 'ki', 'hata', 'yaptınız']"
altını çizmek,Bu sene satışlarımızın arttığının altını çizmek isterim.,idiom,1.0,6,0,0,"[4, 5]","['altını', 'çizmek']","['bu', 'sene', 'satış', 'artmak', 'alt', 'çizmek', 'isteri', '.']","['Bu', 'sene', 'satışlarımızın', 'arttığının', 'altını', 'çizmek', 'isterim', '.']"
altını çizmek,Altını kaç defa çizmeme rağmen yine bunu yapıyorsun.,idiom,1.0,5,0,0,"[0, 3]","['Altını', 'çizmeme']","['alt', 'kaç', 'defa', 'çizmek', 'rağmen', 'yine', 'bun', 'yapmak', '.']","['Altını', 'kaç', 'defa', 'çizmeme', 'rağmen', 'yine', 'bunu', 'yapıyorsun', '.']"
altını çizmek,Altını çizmek istediğin noktayı anlıyorum,idiom,1.0,6,0,0,"[0, 1]","['Altını', 'çizmek']","['alt', 'çizmek', 'istemek', 'nokta', 'anlamak']","['Altını', 'çizmek', 'istediğin', 'noktayı', 'anlıyorum']"
altını çizmek,Hocanın altını çizerek bahsettiği yerlerden soru gelecek,idiom,1.0,5,0,0,"[1, 2]","['altını', 'çizerek']","['hoca', 'alt', 'çizmek', 'bahsetmek', 'yer', 'sorumak', 'gelmek']","['Hocanın', 'altını', 'çizerek', 'bahsettiği', 'yerlerden', 'soru', 'gelecek']"
altını çizmek,Her şeyden önce sağlığın öneminin altını çizmek istiyorum.,idiom,1.0,4,0,0,"[5, 6]","['altını', 'çizmek']","['her', 'şey', 'önce', 'sağlık', 'önem', 'alt', 'çizmek', 'istemek', '.']","['Her', 'şeyden', 'önce', 'sağlığın', 'öneminin', 'altını', 'çizmek', 'istiyorum', '.']"
altını çizmek,"Eskiden altını çizdiklerimin, şimdi üstünü çiziyorum.",idiom,0.8,4,1,0,"[1, 2]","['altını', 'çizdiklerimin']","['eski', 'alt', 'çizmek', ',', 'şimdi', 'Üstün', 'çiziyorum', '.']","['Eskiden', 'altını', 'çizdiklerimin', ',', 'şimdi', 'üstünü', 'çiziyorum', '.']"
altını çizmek,Şu konunun altını da çizmek istiyorum.,idiom,1.0,4,0,0,"[2, 4]","['altını', 'çizmek']","['şu', 'konu', 'alt', 'da', 'çizmek', 'istemek', '.']","['Şu', 'konunun', 'altını', 'da', 'çizmek', 'istiyorum', '.']"
altını çizmek,Bugün altını çize çize belirttim ama yine yanlış yapmış,idiom,1.0,5,0,0,"[1, 2]","['altını', 'çize']","['bugün', 'alt', 'çizmek', 'çizmek', 'belirtmek', 'ama', 'yine', 'yanlış', 'yapmak']","['Bugün', 'altını', 'çize', 'çize', 'belirttim', 'ama', 'yine', 'yanlış', 'yapmış']"
altını çizmek,Altını mu üstünü mü çizeceğiz göreceksin.,idiom,0.4,2,3,0,"[0, 4]","['Altını', 'çizeceğiz']","['alt', 'mu', 'Üstün', 'mü', 'çizmek', 'görmek', '.']","['Altını', 'mu', 'üstünü', 'mü', 'çizeceğiz', 'göreceksin', '.']"
altını çizmek,Merak etme ben ona altını çizerek soyledim,idiom,1.0,5,0,0,"[4, 5]","['altını', 'çizerek']","['merak', 'etmek', 'ben', 'onmak', 'alt', 'çizmek', 'soyledim']","['Merak', 'etme', 'ben', 'ona', 'altını', 'çizerek', 'soyledim']"
altını çizmek,BU KELİMENİN ALTINI ÇİZDİM.,idiom,0.0,0,4,1,"[2, 3]","['ALTINI', 'ÇİZDİM']","['bu', 'kelime', 'alt', 'çizmek', '.']","['BU', 'KELİMENİN', 'ALTINI', 'ÇİZDİM', '.']"
altını çizmek,"Yazarın kitaplarında, karakterlerdeki yaratıcılığın altı çizilirken bu özellik sadece sanatsal başarılarla sınırlandırılmıyor.",idiom,1.0,5,0,0,"[5, 6]","['altı', 'çizilirken']","['yazar', 'kitap', ',', 'karakter', 'yaratmak', 'alt', 'çizmek', 'bu', 'özel', 'sadece', 'sanat', 'başarı', 'sınır', '.']","['Yazarın', 'kitaplarında', ',', 'karakterlerdeki', 'yaratıcılığın', 'altı', 'çizilirken', 'bu', 'özellik', 'sadece', 'sanatsal', 'başarılarla', 'sınırlandırılmıyor', '.']"
altını çizmek,"Öğretmenleri, dikkat etmeleri gereken konuların altını çizdi.",idiom,1.0,4,0,0,"[6, 7]","['altını', 'çizdi']","['öğretmen', ',', 'dikkat', 'etmek', 'gerekmek', 'konu', 'alt', 'çizmek', '.']","['Öğretmenleri', ',', 'dikkat', 'etmeleri', 'gereken', 'konuların', 'altını', 'çizdi', '.']"
altını çizmek,Model eğitiminde etiketli verinin öneminin altını bir kez daha çizmek istiyorum,idiom,1.0,6,0,0,"[5, 9]","['altını', 'çizmek']","['model', 'eğitim', 'etiket', 'veri', 'önem', 'alt', 'bir', 'kez', 'daha', 'çizmek', 'istemek']","['Model', 'eğitiminde', 'etiketli', 'verinin', 'öneminin', 'altını', 'bir', 'kez', 'daha', 'çizmek', 'istiyorum']"
altını çizmek,"Burası önemli, altını çizerek söylüyorum.",idiom,1.0,5,0,0,"[3, 4]","['altını', 'çizerek']","['bura', 'önem', ',', 'alt', 'çizmek', 'söylemek', '.']","['Burası', 'önemli', ',', 'altını', 'çizerek', 'söylüyorum', '.']"
altını çizmek,"Altını çizerek söylüyorum, başka eve taşınmak istemiyorum",idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', ',', 'başka', 'ev', 'taşınmak', 'istemek']","['Altını', 'çizerek', 'söylüyorum', ',', 'başka', 'eve', 'taşınmak', 'istemiyorum']"
altını çizmek,"İroni mi yapmıştı, trajedisinin altını mı çizmek istemişti beyhude.",idiom,1.0,5,0,0,"[5, 7]","['altını', 'çizmek']","['ironi', 'mi', 'yapmak', ',', 'trajedi', 'alt', 'mı', 'çizmek', 'istemek', 'beyhude', '.']","['İroni', 'mi', 'yapmıştı', ',', 'trajedisinin', 'altını', 'mı', 'çizmek', 'istemişti', 'beyhude', '.']"
altını çizmek,Basin aciklamasinda yapilan anlasmanin önemli noktalarinin altını çizdi,idiom,1.0,5,0,0,"[6, 7]","['altını', 'çizdi']","['Basin', 'aciklamasinda', 'yapilan', 'anlasmanin', 'önem', 'noktalarinin', 'alt', 'çizmek']","['Basin', 'aciklamasinda', 'yapilan', 'anlasmanin', 'önemli', 'noktalarinin', 'altını', 'çizdi']"
altını çizmek,Altını çizmek,idiom,0.0,0,2,1,"[0, 1]","['Altını', 'çizmek']","['alt', 'çizmek']","['Altını', 'çizmek']"
altını çizmek,Bu söylediklerimin altını çiziyorum.,idiom,1.0,5,0,0,"[2, 3]","['altını', 'çiziyorum']","['bu', 'söylemek', 'alt', 'çizmek', '.']","['Bu', 'söylediklerimin', 'altını', 'çiziyorum', '.']"
altını çizmek,Altını çizerek belirtmek isterim ki bunlar gün gelecek meydana çıkacak.,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'belirtmek', 'isteri', 'ki', 'bun', 'gün', 'gelmek', 'meydan', 'çıkacak', '.']","['Altını', 'çizerek', 'belirtmek', 'isterim', 'ki', 'bunlar', 'gün', 'gelecek', 'meydana', 'çıkacak', '.']"
altını çizmek,"Eğitimde görselleştirmenin çok önemlidir, bunun altını bir kez daha çizmek istiyorum",idiom,0.6,3,2,0,"[6, 10]","['altını', 'çizmek']","['eğitim', 'görsel', 'çok', 'önem', ',', 'bun', 'alt', 'bir', 'kez', 'daha', 'çizmek', 'istemek']","['Eğitimde', 'görselleştirmenin', 'çok', 'önemlidir', ',', 'bunun', 'altını', 'bir', 'kez', 'daha', 'çizmek', 'istiyorum']"
altını çizmek,"Ben sana bu mevzu kapansın artık derken, sen her toplantıda altını neden çizmeye devam ediyorsun?",idiom,0.75,3,1,0,"[11, 13]","['altını', 'çizmeye']","['ben', 'sen', 'bu', 'mevzu', 'kapan', 'artık', 'derken', ',', 'sen', 'her', 'toplantı', 'alt', 'Ne', 'çizmek', 'devam', 'etmek', '?']","['Ben', 'sana', 'bu', 'mevzu', 'kapansın', 'artık', 'derken', ',', 'sen', 'her', 'toplantıda', 'altını', 'neden', 'çizmeye', 'devam', 'ediyorsun', '?']"
altını çizmek,Bu konunun altını ne kadar çizsem az.,idiom,1.0,4,0,0,"[2, 5]","['altını', 'çizsem']","['bu', 'konu', 'alt', 'Ne', 'Kadar', 'çizmek', 'az', '.']","['Bu', 'konunun', 'altını', 'ne', 'kadar', 'çizsem', 'az', '.']"
altını çizmek,"İnsan, kendi samimiyetinin altını çizmeye kalkıştı mı, ister istemez üstünü de çiziyor.",idiom,1.0,5,0,0,"[4, 5]","['altını', 'çizmeye']","['insan', ',', 'kendi', 'samimiyet', 'alt', 'çizmek', 'kalkmak', 'mı', ',', 'istemek', 'istemek', 'Üstün', 'de', 'çizmek', '.']","['İnsan', ',', 'kendi', 'samimiyetinin', 'altını', 'çizmeye', 'kalkıştı', 'mı', ',', 'ister', 'istemez', 'üstünü', 'de', 'çiziyor', '.']"
altını çizmek,Önemli gördüğün yerlerin altını mi çizdin?,idiom,0.1666666666666666,1,3,2,"[3, 5]","['altını', 'çizdin']","['önem', 'görmek', 'yer', 'alt', 'mi', 'çizmek', '?']","['Önemli', 'gördüğün', 'yerlerin', 'altını', 'mi', 'çizdin', '?']"
altını çizmek,Dodiom'un veri toplamak içinin öneminin altını çizmek istiyorum,idiom,0.8,4,1,0,"[5, 6]","['altını', 'çizmek']","['Dodiomun', 'veri', 'toplamak', 'iç', 'önem', 'alt', 'çizmek', 'istemek']","[""Dodiom'un"", 'veri', 'toplamak', 'içinin', 'öneminin', 'altını', 'çizmek', 'istiyorum']"
altını çizmek,Altını çiziyorum bu iş böyle yapılır.,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çiziyorum']","['alt', 'çizmek', 'bu', 'iş', 'böyle', 'yapmak', '.']","['Altını', 'çiziyorum', 'bu', 'iş', 'böyle', 'yapılır', '.']"
altını çizmek,Bu konunun özellikle altını çizdim ki unutmasınlar,idiom,1.0,5,0,0,"[3, 4]","['altını', 'çizdim']","['bu', 'konu', 'özellikle', 'alt', 'çizmek', 'ki', 'unutmak']","['Bu', 'konunun', 'özellikle', 'altını', 'çizdim', 'ki', 'unutmasınlar']"
altını çizmek,Bu meselenin altını niye çizdiğini bana açıklayacaksın?,idiom,0.8,4,1,0,"[2, 4]","['altını', 'çizdiğini']","['bu', 'mesele', 'alt', 'niye', 'çizmek', 'ban', 'açıklamak', '?']","['Bu', 'meselenin', 'altını', 'niye', 'çizdiğini', 'bana', 'açıklayacaksın', '?']"
altını çizmek,Derse başlamadan önce bir kaç konunun altını çizmek istiyorum.,idiom,1.0,5,0,0,"[6, 7]","['altını', 'çizmek']","['ders', 'başlamak', 'önce', 'bir', 'kaç', 'konu', 'alt', 'çizmek', 'istemek', '.']","['Derse', 'başlamadan', 'önce', 'bir', 'kaç', 'konunun', 'altını', 'çizmek', 'istiyorum', '.']"
altını çizmek,Mecazi anlamda altını çizmeyi kastediyorum.,idiom,0.75,3,1,0,"[2, 3]","['altını', 'çizmeyi']","['mecazî', 'anlam', 'alt', 'çizmek', 'kastetmek', '.']","['Mecazi', 'anlamda', 'altını', 'çizmeyi', 'kastediyorum', '.']"
altını çizmek,Altını çizerek belirtmek isterim ki hata yaptınız,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'belirtmek', 'isteri', 'ki', 'hata', 'yapmak']","['Altını', 'çizerek', 'belirtmek', 'isterim', 'ki', 'hata', 'yaptınız']"
altını çizmek,Konuşma esnasında bu konunun altını özellikle çizdi.,idiom,1.0,5,0,0,"[4, 6]","['altını', 'çizdi']","['konuşmak', 'esna', 'bu', 'konu', 'alt', 'özellikle', 'çizmek', '.']","['Konuşma', 'esnasında', 'bu', 'konunun', 'altını', 'özellikle', 'çizdi', '.']"
altını çizmek,Altını çizerek söylüyorum ki iyi dinleyin.,idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', 'ki', 'iyi', 'dinlemek', '.']","['Altını', 'çizerek', 'söylüyorum', 'ki', 'iyi', 'dinleyin', '.']"
altını çizmek,"Altını çizerek söylüyorum, başka eve taşınmak istemiyorum.",idiom,1.0,5,0,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', ',', 'başka', 'ev', 'taşınmak', 'istemek', '.']","['Altını', 'çizerek', 'söylüyorum', ',', 'başka', 'eve', 'taşınmak', 'istemiyorum', '.']"
altını çizmek,Öğretmen bu konunun altını çizdi.,idiom,1.0,5,0,0,"[3, 4]","['altını', 'çizdi']","['öğretmek', 'bu', 'konu', 'alt', 'çizmek', '.']","['Öğretmen', 'bu', 'konunun', 'altını', 'çizdi', '.']"
altını çizmek,Altını çizerek söylüyorum en iyi teknik üniversite İTÜ'dür.,idiom,0.8333333333333334,5,1,0,"[0, 1]","['Altını', 'çizerek']","['alt', 'çizmek', 'söylemek', 'en', 'iyi', 'Teknik', 'üniversite', 'İtü', '.']","['Altını', 'çizerek', 'söylüyorum', 'en', 'iyi', 'teknik', 'üniversite', ""İTÜ'dür"", '.']"
altını çizmek,Bu çizgilerin altını çizerek yazma egzersizlerine başlayabiliriz,nonidiom,1.0,5,0,0,"[2, 3]","['altını', 'çizerek']","['bu', 'çizgi', 'alt', 'çizmek', 'yazmak', 'egzersiz', 'başlamak']","['Bu', 'çizgilerin', 'altını', 'çizerek', 'yazma', 'egzersizlerine', 'başlayabiliriz']"
altını çizmek,"Borcuna karşılık bir çeyrek altını alıp, kalan bakiyesinin üstünü çizmiş.",nonidiom,1.0,5,0,0,"[4, 10]","['altını', 'çizmiş']","['bor', 'karşılık', 'bir', 'çeyrek', 'alt', 'almak', ',', 'Kalan', 'Bakiye', 'Üstün', 'çizmek', '.']","['Borcuna', 'karşılık', 'bir', 'çeyrek', 'altını', 'alıp', ',', 'kalan', 'bakiyesinin', 'üstünü', 'çizmiş', '.']"
altını çizmek,Altını çizmek çaydanlığı eskitir.,nonidiom,0.8,4,1,0,"[0, 1]","['Altını', 'çizmek']","['alt', 'çizmek', 'çaydanlık', 'eskimek', '.']","['Altını', 'çizmek', 'çaydanlığı', 'eskitir', '.']"
altını çizmek,Taşınırken masamın altı çizilmiş.,nonidiom,1.0,5,0,0,"[2, 3]","['altı', 'çizilmiş']","['taşımak', 'masa', 'alt', 'çizmek', '.']","['Taşınırken', 'masamın', 'altı', 'çizilmiş', '.']"
